
Host: sv1-c724

Timers On : Tue Mar 17 08:36:28 2026
Timers Off: Tue Mar 17 08:36:35 2026

Wall Time:        7.18 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.009w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.006w      1 calls
DFH: initialize()                   :      0.083u      0.017s      0.060w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.004w      2 calls
| DFH: AO Construction              :      0.033u      0.000s      0.022w      1 calls
| DFH: AO-Met. Contraction          :      0.017u      0.000s      0.009w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.050u      0.000s      0.037w      1 calls
| SAD Guess                         :      0.050u      0.000s      0.035w      1 calls
HF: Form G                          :      0.000u      0.000s      0.014w      8 calls
| JK: D                             :      0.000u      0.000s      0.000w      8 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      8 calls
| JK: JK                            :      0.000u      0.000s      0.014w      8 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.014w      8 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      8 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.003w      8 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.010w      8 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      0.033u      0.000s      0.024w      7 calls
HF: Form C                          :      0.000u      0.000s      0.004w      7 calls

**************************************************************************************

Host: sv1-c724

Timers On : Tue Mar 17 13:16:13 2026
Timers Off: Tue Mar 17 13:16:16 2026

Wall Time:        2.87 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.067u      0.017s      0.035w      5 calls
Libint2ERI::Libint2ERI              :      0.067u      0.017s      0.068w     35 calls
DFH: initialize()                   :      0.083u      0.000s      0.071w      5 calls
DFH: AO Construction                :      0.017u      0.000s      0.015w      5 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.002w      5 calls
HF: Form core H                     :      0.017u      0.000s      0.007w      5 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      5 calls
HF: Guess                           :      0.067u      0.000s      0.038w      5 calls
SAD Guess                           :      0.067u      0.000s      0.036w      1 calls
HF: Form G                          :      0.033u      0.000s      0.011w     48 calls
JK: D                               :      0.000u      0.000s      0.000w     48 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     48 calls
JK: JK                              :      0.033u      0.000s      0.010w     48 calls
DFH: compute_JK()                   :      0.033u      0.000s      0.010w     48 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     48 calls
DFH: compute_J                      :      0.017u      0.000s      0.003w     48 calls
DFH: compute_K                      :      0.017u      0.000s      0.005w     48 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     48 calls
HF: Form F                          :      0.000u      0.000s      0.000w     48 calls
HF: Form D                          :      0.000u      0.000s      0.000w     48 calls
HF: DIIS                            :      0.317u      0.017s      0.153w     47 calls
HF: Form C                          :      0.017u      0.000s      0.021w     47 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.003w      5 calls
Grad: S                             :      0.000u      0.000s      0.001w      5 calls
Grad: JK                            :      0.300u      0.017s      0.196w      5 calls
JKGrad: Amn                         :      0.083u      0.000s      0.045w      5 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      5 calls
JKGrad: AB                          :      0.033u      0.000s      0.034w      5 calls
JKGrad: UV                          :      0.000u      0.000s      0.001w      5 calls
JKGrad: ABx                         :      0.050u      0.017s      0.017w      5 calls
JKGrad: Amnx                        :      0.117u      0.000s      0.083w      5 calls
Grad: XC                            :      0.000u      0.000s      0.000w      5 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.067u      0.017s      0.035w      5 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.017s      0.021w      5 calls
DFH: initialize()                   :      0.083u      0.000s      0.071w      5 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.014w     10 calls
| DFH: AO Construction              :      0.017u      0.000s      0.015w      5 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.002w      5 calls
HF: Form core H                     :      0.017u      0.000s      0.007w      5 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      5 calls
HF: Guess                           :      0.067u      0.000s      0.038w      5 calls
| SAD Guess                         :      0.067u      0.000s      0.036w      1 calls
HF: Form G                          :      0.033u      0.000s      0.011w     48 calls
| JK: D                             :      0.000u      0.000s      0.000w     48 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     48 calls
| JK: JK                            :      0.033u      0.000s      0.010w     48 calls
| | DFH: compute_JK()               :      0.033u      0.000s      0.010w     48 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     48 calls
| | | DFH: compute_J                :      0.017u      0.000s      0.003w     48 calls
| | | DFH: compute_K                :      0.017u      0.000s      0.005w     48 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     48 calls
HF: Form F                          :      0.000u      0.000s      0.000w     48 calls
HF: Form D                          :      0.000u      0.000s      0.000w     48 calls
HF: DIIS                            :      0.317u      0.017s      0.153w     47 calls
HF: Form C                          :      0.017u      0.000s      0.021w     47 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.003w      5 calls
Grad: S                             :      0.000u      0.000s      0.001w      5 calls
Grad: JK                            :      0.300u      0.017s      0.196w      5 calls
| JKGrad: Amn                       :      0.083u      0.000s      0.045w      5 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.016w      5 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      5 calls
| JKGrad: AB                        :      0.033u      0.000s      0.034w      5 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      5 calls
| JKGrad: UV                        :      0.000u      0.000s      0.001w      5 calls
| JKGrad: ABx                       :      0.050u      0.017s      0.017w      5 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      5 calls
| JKGrad: Amnx                      :      0.117u      0.000s      0.083w      5 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.017w      5 calls
Grad: XC                            :      0.000u      0.000s      0.000w      5 calls

**************************************************************************************

Host: sv1-c724

Timers On : Tue Mar 17 13:16:13 2026
Timers Off: Tue Mar 17 13:16:16 2026

Wall Time:        2.69 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.067u      0.017s      0.037w      5 calls
Libint2ERI::Libint2ERI              :      0.100u      0.017s      0.067w     35 calls
DFH: initialize()                   :      0.117u      0.000s      0.074w      5 calls
DFH: AO Construction                :      0.017u      0.000s      0.016w      5 calls
DFH: AO-Met. Contraction            :      0.017u      0.000s      0.002w      5 calls
HF: Form core H                     :      0.033u      0.000s      0.007w      5 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      5 calls
HF: Guess                           :      0.067u      0.000s      0.040w      5 calls
SAD Guess                           :      0.067u      0.000s      0.037w      1 calls
HF: Form G                          :      0.067u      0.000s      0.009w     48 calls
JK: D                               :      0.000u      0.000s      0.000w     48 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     48 calls
JK: JK                              :      0.067u      0.000s      0.008w     48 calls
DFH: compute_JK()                   :      0.067u      0.000s      0.008w     48 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     48 calls
DFH: compute_J                      :      0.050u      0.000s      0.002w     48 calls
DFH: compute_K                      :      0.017u      0.000s      0.004w     48 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     48 calls
HF: Form F                          :      0.000u      0.000s      0.000w     48 calls
HF: Form D                          :      0.000u      0.000s      0.000w     48 calls
HF: DIIS                            :      0.117u      0.017s      0.128w     47 calls
HF: Form C                          :      0.000u      0.000s      0.017w     47 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.002w      5 calls
Grad: S                             :      0.000u      0.000s      0.001w      5 calls
Grad: JK                            :      0.300u      0.000s      0.187w      5 calls
JKGrad: Amn                         :      0.067u      0.000s      0.044w      5 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      5 calls
JKGrad: AB                          :      0.083u      0.000s      0.033w      5 calls
JKGrad: UV                          :      0.000u      0.000s      0.001w      5 calls
JKGrad: ABx                         :      0.000u      0.000s      0.016w      5 calls
JKGrad: Amnx                        :      0.117u      0.000s      0.076w      5 calls
Grad: XC                            :      0.000u      0.000s      0.000w      5 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.067u      0.017s      0.037w      5 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.017s      0.023w      5 calls
DFH: initialize()                   :      0.117u      0.000s      0.074w      5 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.014w     10 calls
| DFH: AO Construction              :      0.017u      0.000s      0.016w      5 calls
| DFH: AO-Met. Contraction          :      0.017u      0.000s      0.002w      5 calls
HF: Form core H                     :      0.033u      0.000s      0.007w      5 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      5 calls
HF: Guess                           :      0.067u      0.000s      0.040w      5 calls
| SAD Guess                         :      0.067u      0.000s      0.037w      1 calls
HF: Form G                          :      0.067u      0.000s      0.009w     48 calls
| JK: D                             :      0.000u      0.000s      0.000w     48 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     48 calls
| JK: JK                            :      0.067u      0.000s      0.008w     48 calls
| | DFH: compute_JK()               :      0.067u      0.000s      0.008w     48 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     48 calls
| | | DFH: compute_J                :      0.050u      0.000s      0.002w     48 calls
| | | DFH: compute_K                :      0.017u      0.000s      0.004w     48 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     48 calls
HF: Form F                          :      0.000u      0.000s      0.000w     48 calls
HF: Form D                          :      0.000u      0.000s      0.000w     48 calls
HF: DIIS                            :      0.117u      0.017s      0.128w     47 calls
HF: Form C                          :      0.000u      0.000s      0.017w     47 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.002w      5 calls
Grad: S                             :      0.000u      0.000s      0.001w      5 calls
Grad: JK                            :      0.300u      0.000s      0.187w      5 calls
| JKGrad: Amn                       :      0.067u      0.000s      0.044w      5 calls
| | Libint2ERI::Libint2ERI          :      0.017u      0.000s      0.015w      5 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      5 calls
| JKGrad: AB                        :      0.083u      0.000s      0.033w      5 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      5 calls
| JKGrad: UV                        :      0.000u      0.000s      0.001w      5 calls
| JKGrad: ABx                       :      0.000u      0.000s      0.016w      5 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      5 calls
| JKGrad: Amnx                      :      0.117u      0.000s      0.076w      5 calls
| | Libint2ERI::Libint2ERI          :      0.033u      0.000s      0.015w      5 calls
Grad: XC                            :      0.000u      0.000s      0.000w      5 calls

**************************************************************************************

Host: sv1-c724

Timers On : Tue Mar 17 13:16:17 2026
Timers Off: Tue Mar 17 13:16:49 2026

Wall Time:       32.31 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.017u      0.000s      0.009w      1 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.010w      3 calls
DFH: initialize()                   :      0.083u      0.017s      0.063w      1 calls
DFH: AO Construction                :      0.033u      0.000s      0.021w      1 calls
DFH: AO-Met. Contraction            :      0.017u      0.000s      0.010w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.067u      0.000s      0.040w      1 calls
SAD Guess                           :      0.067u      0.000s      0.038w      1 calls
HF: Form G                          :      0.100u      0.000s      0.016w      8 calls
JK: D                               :      0.000u      0.000s      0.000w      8 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      8 calls
JK: JK                              :      0.100u      0.000s      0.016w      8 calls
DFH: compute_JK()                   :      0.100u      0.000s      0.015w      8 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      8 calls
DFH: compute_J                      :      0.017u      0.000s      0.003w      8 calls
DFH: compute_K                      :      0.083u      0.000s      0.011w      8 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      0.017u      0.000s      0.031w      7 calls
HF: Form C                          :      0.000u      0.000s      0.006w      7 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.017u      0.000s      0.009w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.006w      1 calls
DFH: initialize()                   :      0.083u      0.017s      0.063w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.004w      2 calls
| DFH: AO Construction              :      0.033u      0.000s      0.021w      1 calls
| DFH: AO-Met. Contraction          :      0.017u      0.000s      0.010w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.003w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.067u      0.000s      0.040w      1 calls
| SAD Guess                         :      0.067u      0.000s      0.038w      1 calls
HF: Form G                          :      0.100u      0.000s      0.016w      8 calls
| JK: D                             :      0.000u      0.000s      0.000w      8 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      8 calls
| JK: JK                            :      0.100u      0.000s      0.016w      8 calls
| | DFH: compute_JK()               :      0.100u      0.000s      0.015w      8 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      8 calls
| | | DFH: compute_J                :      0.017u      0.000s      0.003w      8 calls
| | | DFH: compute_K                :      0.083u      0.000s      0.011w      8 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      0.017u      0.000s      0.031w      7 calls
HF: Form C                          :      0.000u      0.000s      0.006w      7 calls

**************************************************************************************

Host: sv1-c724

Timers On : Tue Mar 17 13:17:42 2026
Timers Off: Tue Mar 17 13:17:45 2026

Wall Time:        2.68 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.067u      0.017s      0.036w      5 calls
Libint2ERI::Libint2ERI              :      0.100u      0.017s      0.069w     35 calls
DFH: initialize()                   :      0.100u      0.017s      0.075w      5 calls
DFH: AO Construction                :      0.017u      0.017s      0.016w      5 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.003w      5 calls
HF: Form core H                     :      0.017u      0.000s      0.007w      5 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      5 calls
HF: Guess                           :      0.067u      0.000s      0.043w      5 calls
SAD Guess                           :      0.050u      0.000s      0.041w      1 calls
HF: Form G                          :      0.000u      0.000s      0.010w     48 calls
JK: D                               :      0.000u      0.000s      0.000w     48 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     48 calls
JK: JK                              :      0.000u      0.000s      0.009w     48 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.008w     48 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     48 calls
DFH: compute_J                      :      0.000u      0.000s      0.002w     48 calls
DFH: compute_K                      :      0.000u      0.000s      0.005w     48 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     48 calls
HF: Form F                          :      0.000u      0.000s      0.000w     48 calls
HF: Form D                          :      0.000u      0.000s      0.000w     48 calls
HF: DIIS                            :      0.217u      0.000s      0.137w     47 calls
HF: Form C                          :      0.083u      0.000s      0.018w     47 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.002w      5 calls
Grad: S                             :      0.000u      0.000s      0.001w      5 calls
Grad: JK                            :      0.283u      0.017s      0.181w      5 calls
JKGrad: Amn                         :      0.083u      0.000s      0.043w      5 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      5 calls
JKGrad: AB                          :      0.050u      0.017s      0.033w      5 calls
JKGrad: UV                          :      0.000u      0.000s      0.001w      5 calls
JKGrad: ABx                         :      0.017u      0.000s      0.015w      5 calls
JKGrad: Amnx                        :      0.133u      0.000s      0.076w      5 calls
Grad: XC                            :      0.000u      0.000s      0.000w      5 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.067u      0.017s      0.036w      5 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.017s      0.023w      5 calls
DFH: initialize()                   :      0.100u      0.017s      0.075w      5 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.015w     10 calls
| DFH: AO Construction              :      0.017u      0.017s      0.016w      5 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.003w      5 calls
HF: Form core H                     :      0.017u      0.000s      0.007w      5 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      5 calls
HF: Guess                           :      0.067u      0.000s      0.043w      5 calls
| SAD Guess                         :      0.050u      0.000s      0.041w      1 calls
HF: Form G                          :      0.000u      0.000s      0.010w     48 calls
| JK: D                             :      0.000u      0.000s      0.000w     48 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     48 calls
| JK: JK                            :      0.000u      0.000s      0.009w     48 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.008w     48 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     48 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.002w     48 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.005w     48 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     48 calls
HF: Form F                          :      0.000u      0.000s      0.000w     48 calls
HF: Form D                          :      0.000u      0.000s      0.000w     48 calls
HF: DIIS                            :      0.217u      0.000s      0.137w     47 calls
HF: Form C                          :      0.083u      0.000s      0.018w     47 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.002w      5 calls
Grad: S                             :      0.000u      0.000s      0.001w      5 calls
Grad: JK                            :      0.283u      0.017s      0.181w      5 calls
| JKGrad: Amn                       :      0.083u      0.000s      0.043w      5 calls
| | Libint2ERI::Libint2ERI          :      0.017u      0.000s      0.015w      5 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      5 calls
| JKGrad: AB                        :      0.050u      0.017s      0.033w      5 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      5 calls
| JKGrad: UV                        :      0.000u      0.000s      0.001w      5 calls
| JKGrad: ABx                       :      0.017u      0.000s      0.015w      5 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      5 calls
| JKGrad: Amnx                      :      0.133u      0.000s      0.076w      5 calls
| | Libint2ERI::Libint2ERI          :      0.017u      0.000s      0.016w      5 calls
Grad: XC                            :      0.000u      0.000s      0.000w      5 calls

**************************************************************************************

Host: sv1-c724

Timers On : Tue Mar 17 13:17:42 2026
Timers Off: Tue Mar 17 13:17:45 2026

Wall Time:        2.70 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.083u      0.000s      0.039w      5 calls
Libint2ERI::Libint2ERI              :      0.117u      0.000s      0.070w     35 calls
DFH: initialize()                   :      0.100u      0.017s      0.077w      5 calls
DFH: AO Construction                :      0.017u      0.000s      0.016w      5 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.002w      5 calls
HF: Form core H                     :      0.017u      0.000s      0.007w      5 calls
HF: Form S/X                        :      0.017u      0.000s      0.001w      5 calls
HF: Guess                           :      0.083u      0.000s      0.043w      5 calls
SAD Guess                           :      0.083u      0.000s      0.041w      1 calls
HF: Form G                          :      0.000u      0.000s      0.010w     48 calls
JK: D                               :      0.000u      0.000s      0.000w     48 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     48 calls
JK: JK                              :      0.000u      0.000s      0.009w     48 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.009w     48 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     48 calls
DFH: compute_J                      :      0.000u      0.000s      0.002w     48 calls
DFH: compute_K                      :      0.000u      0.000s      0.004w     48 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     48 calls
HF: Form F                          :      0.000u      0.000s      0.000w     48 calls
HF: Form D                          :      0.000u      0.000s      0.000w     48 calls
HF: DIIS                            :      0.250u      0.017s      0.137w     47 calls
HF: Form C                          :      0.050u      0.000s      0.019w     47 calls
Grad: V T Perturb                   :      0.017u      0.000s      0.002w      5 calls
Grad: S                             :      0.000u      0.000s      0.001w      5 calls
Grad: JK                            :      0.300u      0.000s      0.180w      5 calls
JKGrad: Amn                         :      0.067u      0.000s      0.042w      5 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      5 calls
JKGrad: AB                          :      0.067u      0.000s      0.032w      5 calls
JKGrad: UV                          :      0.000u      0.000s      0.001w      5 calls
JKGrad: ABx                         :      0.017u      0.000s      0.015w      5 calls
JKGrad: Amnx                        :      0.150u      0.000s      0.074w      5 calls
Grad: XC                            :      0.000u      0.000s      0.000w      5 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.083u      0.000s      0.039w      5 calls
| Libint2ERI::Libint2ERI            :      0.050u      0.000s      0.025w      5 calls
DFH: initialize()                   :      0.100u      0.017s      0.077w      5 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.015w     10 calls
| DFH: AO Construction              :      0.017u      0.000s      0.016w      5 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.002w      5 calls
HF: Form core H                     :      0.017u      0.000s      0.007w      5 calls
HF: Form S/X                        :      0.017u      0.000s      0.001w      5 calls
HF: Guess                           :      0.083u      0.000s      0.043w      5 calls
| SAD Guess                         :      0.083u      0.000s      0.041w      1 calls
HF: Form G                          :      0.000u      0.000s      0.010w     48 calls
| JK: D                             :      0.000u      0.000s      0.000w     48 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     48 calls
| JK: JK                            :      0.000u      0.000s      0.009w     48 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.009w     48 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     48 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.002w     48 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.004w     48 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     48 calls
HF: Form F                          :      0.000u      0.000s      0.000w     48 calls
HF: Form D                          :      0.000u      0.000s      0.000w     48 calls
HF: DIIS                            :      0.250u      0.017s      0.137w     47 calls
HF: Form C                          :      0.050u      0.000s      0.019w     47 calls
Grad: V T Perturb                   :      0.017u      0.000s      0.002w      5 calls
Grad: S                             :      0.000u      0.000s      0.001w      5 calls
Grad: JK                            :      0.300u      0.000s      0.180w      5 calls
| JKGrad: Amn                       :      0.067u      0.000s      0.042w      5 calls
| | Libint2ERI::Libint2ERI          :      0.017u      0.000s      0.015w      5 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      5 calls
| JKGrad: AB                        :      0.067u      0.000s      0.032w      5 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      5 calls
| JKGrad: UV                        :      0.000u      0.000s      0.001w      5 calls
| JKGrad: ABx                       :      0.017u      0.000s      0.015w      5 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      5 calls
| JKGrad: Amnx                      :      0.150u      0.000s      0.074w      5 calls
| | Libint2ERI::Libint2ERI          :      0.050u      0.000s      0.014w      5 calls
Grad: XC                            :      0.000u      0.000s      0.000w      5 calls

**************************************************************************************

Host: sv1-c724

Timers On : Tue Mar 17 13:17:46 2026
Timers Off: Tue Mar 17 13:18:18 2026

Wall Time:       32.36 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.007w      1 calls
Libint2ERI::Libint2ERI              :      0.017u      0.000s      0.009w      3 calls
DFH: initialize()                   :      0.083u      0.017s      0.061w      1 calls
DFH: AO Construction                :      0.033u      0.000s      0.022w      1 calls
DFH: AO-Met. Contraction            :      0.017u      0.000s      0.010w      1 calls
HF: Form core H                     :      0.000u      0.017s      0.003w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.067u      0.000s      0.036w      1 calls
SAD Guess                           :      0.067u      0.000s      0.035w      1 calls
HF: Form G                          :      0.033u      0.000s      0.016w      8 calls
JK: D                               :      0.000u      0.000s      0.000w      8 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      8 calls
JK: JK                              :      0.033u      0.000s      0.015w      8 calls
DFH: compute_JK()                   :      0.033u      0.000s      0.015w      8 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      8 calls
DFH: compute_J                      :      0.000u      0.000s      0.003w      8 calls
DFH: compute_K                      :      0.033u      0.000s      0.012w      8 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      0.017u      0.000s      0.026w      7 calls
HF: Form C                          :      0.033u      0.000s      0.005w      7 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.007w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.005w      1 calls
DFH: initialize()                   :      0.083u      0.017s      0.061w      1 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.004w      2 calls
| DFH: AO Construction              :      0.033u      0.000s      0.022w      1 calls
| DFH: AO-Met. Contraction          :      0.017u      0.000s      0.010w      1 calls
HF: Form core H                     :      0.000u      0.017s      0.003w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      1 calls
HF: Guess                           :      0.067u      0.000s      0.036w      1 calls
| SAD Guess                         :      0.067u      0.000s      0.035w      1 calls
HF: Form G                          :      0.033u      0.000s      0.016w      8 calls
| JK: D                             :      0.000u      0.000s      0.000w      8 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      8 calls
| JK: JK                            :      0.033u      0.000s      0.015w      8 calls
| | DFH: compute_JK()               :      0.033u      0.000s      0.015w      8 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      8 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.003w      8 calls
| | | DFH: compute_K                :      0.033u      0.000s      0.012w      8 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      0.017u      0.000s      0.026w      7 calls
HF: Form C                          :      0.033u      0.000s      0.005w      7 calls

**************************************************************************************

Host: sv1-c724

Timers On : Tue Mar 17 13:19:20 2026
Timers Off: Tue Mar 17 13:19:23 2026

Wall Time:        2.58 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.050u      0.000s      0.036w      5 calls
Libint2ERI::Libint2ERI              :      0.050u      0.000s      0.068w     35 calls
DFH: initialize()                   :      0.133u      0.000s      0.071w      5 calls
DFH: AO Construction                :      0.067u      0.000s      0.015w      5 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.002w      5 calls
HF: Form core H                     :      0.000u      0.000s      0.007w      5 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      5 calls
